Product Name,Price,Rating,No. Of Items Sold,Link
"Lenovo IdeaPad 1 Intel Celeron N4020 11.6'' HD Laptop (4GB/256GB SSD/Windows 11/Office 2021/Platinum Grey/1.2Kg), 81VT009UIN","23,890",3.8 out of 5 stars,100,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0165471KW0SE1EV22VA&url=%2FLenovo-IdeaPad-Celeron-Platinum-81VT009UIN%2Fdp%2FB09V7ZJYBN%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DLaptop%26qid%3D1656474257%26sr%3D8-1-spons%26psc%3D1&qualifier=1656474257&id=4717839331065662&widgetName=sp_atf
Hp Pavilion X360 11Th Gen Intel Core I5 14 Inches Fhd Multitouch 2In1 Laptop(16Gb Ram/512Gb Ssd/B&O/Windows 11 Home/Fpr/Backlit Kb/Intel Iris Xe Graphics/Alexa/Pen/Ms Office/Silver/1.52Kg)14-Dy1048Tu,"72,619",3.4 out of 5 stars,10,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08888853AOCN0OS8EZ85&url=%2FPavilion-Multitouch-Windows-Graphics-14-Dy1048Tu%2Fdp%2FB09VQ4ZT6G%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DLaptop%26qid%3D1656474257%26sr%3D8-2-spons%26psc%3D1&qualifier=1656474257&id=4717839331065662&widgetName=sp_atf
"ASUS VivoBook 15 (2021), 15.6-inch (39.62 cm) HD, Dual Core Intel Celeron N4020, Thin and Light Laptop (4GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Transparent Silver/1.8 Kg), X515MA-BR011W","26,990",4.1 out of 5 stars,"1,345",https://www.amazon.in//ASUS-15-6-inch-Integrated-Transparent-X515MA-BR011W/dp/B09SGGB687/ref=sr_1_3?keywords=Laptop&qid=1656474257&sr=8-3
"Lenovo IdeaPad 1 Intel Celeron N4020 11.6'' HD Laptop (4GB/256GB SSD/Windows 11/Office 2021/Platinum Grey/1.2Kg), 81VT009UIN","23,890",3.8 out of 5 stars,100,https://www.amazon.in//Lenovo-IdeaPad-Celeron-Platinum-81VT009UIN/dp/B09V7ZJYBN/ref=sr_1_4?keywords=Laptop&qid=1656474257&sr=8-4
HP NB 255 G8 Laptop (AMD Ryzen 3-3250U/8GB DDR4 Ram/1TB HDD/15.6 inch HD/Windows 11/AMD Radeon Vega 8 Graphics/Dark Ash Silver/1.74Kg) 64Q84PA#ACJ,"29,649",3.8 out of 5 stars,9,https://www.amazon.in//HP-3-3250U-Graphics-64Q84PA-ACJ/dp/B09RMQXSZT/ref=sr_1_5?keywords=Laptop&qid=1656474257&sr=8-5
"HP 15s-11th Gen Intel Core i3 15.6 Inches Laptop (8GB RAM/512GB SSD, FHD, Micro-Edge, Anti-Glare Display UHD Graphics/Alexa/Windows 11/ Dual Speakers/Fast Charge/Win 11/MS Office) 15s- fr2508TU","40,844",4.2 out of 5 stars,54,https://www.amazon.in//HP-15s-11th-Micro-Edge-Anti-Glare-Graphics/dp/B09S3S2DZV/ref=sr_1_6?keywords=Laptop&qid=1656474257&sr=8-6
"Dell New Inspiron 3525 Laptop, AMD Athlon Silver 3050U, Windows 11 + Office'21, 8Gb Gddr4, 256Gb Ssd, Radeon Graphics, 15.6 Inches (39.62Cms) Hd Anti Glare (D560766Win9Be, 1.68Kgs)","32,700",4.0 out of 5 stars,151,https://www.amazon.in//Dell-Inspiron-Office21-Graphics-D560766Win9Be/dp/B09TNWYR3Q/ref=sr_1_7?keywords=Laptop&qid=1656474257&sr=8-7
"Lenovo IdeaPad 3 Intel Celeron N4020 14'' HD Thin & Light Laptop (4GB/256GB SSD/Windows 11/MS Office 2021/Platinum Grey/1.5Kg), 81WH007KIN","26,300",3.8 out of 5 stars,196,https://www.amazon.in//Lenovo-IdeaPad-Celeron-Platinum-81WH007KIN/dp/B09MM4FPMR/ref=sr_1_8?keywords=Laptop&qid=1656474257&sr=8-8
"Hp 15S 11Th Gen Intel Core I5 15.6 Inches Fhd Anti-Glare Display Laptop (8Gb Ram/512Gb Ssd Micro-Edge/Iris Xe Graphics/Backlit Keyboard/Windows 11 Home/Alexa/Dual Speakers/Mso, 15S- Fq4021Tu, 1.69Kg)","52,950",4.1 out of 5 stars,250,https://www.amazon.in//Anti-Glare-Micro-Edge-Graphics-Keyboard-Speakers/dp/B09R1L8J28/ref=sr_1_9?keywords=Laptop&qid=1656474257&sr=8-9
"HP 14s, AMD Ryzen 5-5500U 14 inch( 35.6 cm) FHD, IPS, Micro-Edge Display Laptop (8GB RAM/512GB SSD /Radeon Graphics/Windows 11/Alexa/Backlit Keyboard/MS Office/1.46kg, 14s-fq1092au)","47,279",4.3 out of 5 stars,669,https://www.amazon.in//HP-Micro-Edge-Graphics-Keyboard-14s-fq1092au/dp/B09R1L73TM/ref=sr_1_10?keywords=Laptop&qid=1656474257&sr=8-10
